Elapsed time (s), Dev1/ai3, Dev1/ai0, Dev1/ai17, Dev1/ai18, Dev1/ai19, Dev1/ai20, Dev1/ai21, Dev1/ai6, Dev1/ai7
4.19, 0.00046530177, -0.00017867949, -0.00017867949, 0.00046530177, 9.740894, 0.08933473, -0.019498117, 0.071947224, -0.02078608
4.191, 0.00046530177, 0.00046530177, -0.00017867949, -0.00017867949, 9.740894, 0.089012735, -0.019498117, 0.071947224, -0.021752052
4.192, -0.00017867949, 0.00014331115, 0.00046530177, 0.00046530177, 9.740251, 0.089012735, -0.019498117, 0.07259121, -0.02078608
4.1930000000000005, -0.00017867949, 0.00014331115, 0.00046530177, -0.00017867949, 9.740572, 0.08933473, -0.019820109, 0.071947224, -0.02110807
4.194, 0.00014331115, 0.00046530177, 0.00046530177, -0.00017867949, 9.739607, 0.08933473, -0.020142099, 0.072269216, -0.021430062
4.195, -0.00017867949, -0.00017867949, -0.00017867949, 0.00046530177, 9.740894, 0.089012735, -0.019498117, 0.072269216, -0.02110807
4.196, -0.00017867949, 0.00046530177, 0.00046530177, 0.00046530177, 9.740894, 0.08933473, -0.019820109, 0.07259121, -0.02110807
4.197, 0.00014331115, -0.00017867949, 0.00046530177, 0.00014331115, 9.740894, 0.08933473, -0.019498117, 0.071947224, -0.02110807
4.198, -0.0005006701, -0.0005006701, 0.00046530177, -0.00017867949, 9.740894, 0.089012735, -0.019176127, 0.0729132, -0.02110807
4.199, -0.00017867949, -0.00017867949, -0.00017867949, 0.00014331115, 9.739607, 0.08869074, -0.019820109, 0.07259121, -0.021430062
4.2, -0.00017867949, -0.00017867949, -0.00017867949, 0.00014331115, 9.742183, 0.08933473, -0.019498117, 0.07259121, -0.02110807
4.2010000000000005, -0.00017867949, -0.00017867949, 0.00014331115, -0.00082266075, 9.741217, 0.089012735, -0.019498117, 0.072269216, -0.02078608
4.202, 0.00014331115, 0.00014331115, 0.00046530177, -0.00017867949, 9.741217, 0.08933473, -0.019498117, 0.072269216, -0.02110807
4.203, -0.0005006701, 0.00014331115, 0.00014331115, -0.00017867949, 9.7392845, 0.089012735, -0.019820109, 0.07323519, -0.021430062
4.204, -0.0005006701, 0.00046530177, -0.00017867949, -0.00017867949, 9.740572, 0.089012735, -0.020142099, 0.0729132, -0.021430062
4.205, -0.0005006701, 0.00046530177, 0.00014331115, 0.00014331115, 9.740894, 0.089012735, -0.019820109, 0.072269216, -0.021430062
4.206, -0.00017867949, 0.00046530177, 0.00046530177, -0.00017867949, 9.740251, 0.08869074, -0.019498117, 0.072269216, -0.02078608
4.207, 0.00014331115, 0.00078729243, 0.00046530177, -0.00017867949, 9.741217, 0.08965671, -0.019176127, 0.07259121, -0.021430062
4.208, -0.00017867949, 0.00046530177, 0.00014331115, -0.00017867949, 9.739928, 0.08933473, -0.019820109, 0.07259121, -0.021430062
4.2090000000000005, -0.00017867949, 0.00014331115, 0.00014331115, 0.00046530177, 9.741538, 0.089012735, -0.019820109, 0.071947224, -0.021752052
4.21, -0.00017867949, -0.00017867949, 0.00078729243, -0.00017867949, 9.739928, 0.08965671, -0.019820109, 0.072269216, -0.021430062
4.211, -0.0011446514, -0.00017867949, 0.00014331115, 0.00014331115, 9.739928, 0.089012735, -0.019820109, 0.072269216, -0.021430062
4.212, 0.00014331115, 0.00014331115, -0.00017867949, 0.00014331115, 9.739928, 0.089012735, -0.019820109, 0.0729132, -0.02110807
4.213, -0.00017867949, 0.00046530177, -0.00017867949, -0.00017867949, 9.739928, 0.08933473, -0.019498117, 0.07259121, -0.02110807
4.214, -0.0005006701, 0.00014331115, -0.0005006701, -0.0005006701, 9.739928, 0.089012735, -0.019820109, 0.072269216, -0.02110807
4.215, -0.0005006701, -0.00017867949, -0.0005006701, 0.00014331115, 9.740572, 0.08933473, -0.019820109, 0.07259121, -0.021752052
4.216, -0.00017867949, 0.00014331115, 0.00014331115, 0.00014331115, 9.741217, 0.089012735, -0.019498117, 0.072269216, -0.02110807
4.2170000000000005, 0.00014331115, 0.00014331115, 0.00014331115, -0.00017867949, 9.740251, 0.08869074, -0.019498117, 0.07259121, -0.02078608
4.218, 0.00014331115, 0.00078729243, -0.00017867949, 0.00014331115, 9.740572, 0.08933473, -0.019820109, 0.072269216, -0.021430062
4.219, -0.0005006701, 0.00014331115, -0.00017867949, 0.00046530177, 9.739607, 0.08933473, -0.019820109, 0.071947224, -0.021430062
4.22, -0.00017867949, 0.00046530177, 0.00014331115, -0.0005006701, 9.740894, 0.08933473, -0.019820109, 0.072269216, -0.02078608
4.221, 0.00014331115, 0.00014331115, -0.00017867949, 0.00014331115, 9.740251, 0.08933473, -0.019820109, 0.072269216, -0.022074042
4.222, 0.00014331115, 0.00014331115, -0.00017867949, -0.0005006701, 9.741217, 0.089012735, -0.019498117, 0.072269216, -0.02078608
4.223, -0.00017867949, -0.00017867949, 0.00046530177, -0.00017867949, 9.742183, 0.089012735, -0.020142099, 0.07259121, -0.021430062
4.224, -0.0005006701, 0.00014331115, -0.00017867949, -0.00017867949, 9.739928, 0.08965671, -0.019820109, 0.07259121, -0.021430062
4.225, -0.0005006701, 0.00078729243, -0.00017867949, 0.00014331115, 9.740251, 0.08933473, -0.019820109, 0.072269216, -0.021430062
4.226, 0.00046530177, 0.00014331115, -0.00017867949, 0.00014331115, 9.739928, 0.08869074, -0.020142099, 0.07259121, -0.021430062
4.227, -0.0005006701, -0.00017867949, 0.00014331115, 0.00078729243, 9.741538, 0.08933473, -0.020142099, 0.072269216, -0.021430062
4.228, 0.00014331115, -0.00017867949, -0.00017867949, 0.00046530177, 9.740572, 0.08965671, -0.018854136, 0.072269216, -0.02110807
4.229, 0.00014331115, 0.00014331115, 0.00046530177, 0.00014331115, 9.739928, 0.08869074, -0.019498117, 0.07259121, -0.02110807
4.23, -0.0005006701, 0.00046530177, 0.00014331115, 0.00046530177, 9.740251, 0.08933473, -0.019498117, 0.07259121, -0.021430062
4.231, -0.00017867949, -0.00017867949, 0.00014331115, 0.00014331115, 9.740572, 0.08933473, -0.019498117, 0.072269216, -0.021752052
4.232, -0.00017867949, 0.00014331115, -0.00017867949, -0.00017867949, 9.741538, 0.08965671, -0.019498117, 0.072269216, -0.02078608
4.233, 0.00014331115, -0.0005006701, 0.00014331115, -0.0005006701, 9.740894, 0.08965671, -0.019820109, 0.072269216, -0.021430062
4.234, -0.0005006701, 0.00078729243, -0.00017867949, -0.00017867949, 9.741217, 0.08933473, -0.019498117, 0.07259121, -0.02110807
4.235, 0.00046530177, -0.00017867949, 0.00014331115, 0.00014331115, 9.740894, 0.089012735, -0.020142099, 0.072269216, -0.02078608
4.236, -0.00017867949, 0.00014331115, 0.00046530177, 0.00014331115, 9.740572, 0.089012735, -0.019498117, 0.072269216, -0.02078608
4.237, -0.0005006701, -0.00017867949, -0.00082266075, -0.00017867949, 9.739928, 0.08933473, -0.020464089, 0.07259121, -0.021430062
4.238, 0.00046530177, 0.00014331115, 0.00046530177, -0.00017867949, 9.741538, 0.08933473, -0.019498117, 0.072269216, -0.021430062
4.239, -0.00017867949, 0.00014331115, -0.00017867949, 0.00014331115, 9.740572, 0.0899787, -0.019820109, 0.072269216, -0.02110807
4.24, 0.00014331115, 0.00014331115, 0.00014331115, 0.00046530177, 9.739607, 0.08933473, -0.019820109, 0.072269216, -0.021430062
4.241, 0.00014331115, 0.00046530177, -0.00017867949, -0.0005006701, 9.740251, 0.08869074, -0.019498117, 0.07259121, -0.021430062
4.242, 0.00046530177, -0.00017867949, 0.00014331115, -0.00017867949, 9.740572, 0.08933473, -0.019820109, 0.072269216, -0.02110807
4.243, 0.00046530177, 0.00014331115, -0.00017867949, 0.00014331115, 9.74186, 0.08933473, -0.020142099, 0.07259121, -0.02110807
4.244, -0.0005006701, 0.00046530177, 0.00046530177, 0.00014331115, 9.739928, 0.089012735, -0.019820109, 0.072269216, -0.021752052
4.245, -0.00017867949, 0.00078729243, 0.00078729243, 0.00014331115, 9.741538, 0.08933473, -0.019176127, 0.07259121, -0.021430062
4.246, -0.00082266075, 0.00046530177, -0.00017867949, 0.00014331115, 9.741217, 0.08869074, -0.019498117, 0.072269216, -0.02110807
4.247, 0.00014331115, -0.00082266075, -0.0005006701, 0.00014331115, 9.741217, 0.08933473, -0.020142099, 0.072269216, -0.02078608
4.248, -0.00017867949, 0.00078729243, 0.00014331115, 0.00014331115, 9.739607, 0.089012735, -0.019176127, 0.07259121, -0.021430062
4.249, 0.00078729243, 0.00014331115, -0.00017867949, 0.00014331115, 9.739607, 0.08933473, -0.019498117, 0.07259121, -0.021430062
4.25, -0.00017867949, 0.00046530177, 0.00014331115, 0.00014331115, 9.740251, 0.08869074, -0.019498117, 0.072269216, -0.02078608
4.251, -0.00017867949, 0.00014331115, -0.00082266075, 0.00014331115, 9.739928, 0.089012735, -0.019820109, 0.0729132, -0.02110807
4.252, -0.00017867949, 0.00078729243, -0.0005006701, -0.0005006701, 9.741217, 0.089012735, -0.019820109, 0.0729132, -0.02110807
4.253, 0.00046530177, 0.00046530177, -0.00017867949, -0.00017867949, 9.740572, 0.0899787, -0.019820109, 0.07259121, -0.02110807
4.2540000000000004, -0.00017867949, -0.00017867949, -0.00017867949, 0.00014331115, 9.740251, 0.08965671, -0.019498117, 0.071947224, -0.02110807
4.255, 0.00014331115, 0.00014331115, -0.0005006701, -0.00017867949, 9.739607, 0.08933473, -0.019498117, 0.07259121, -0.02110807
4.256, -0.00017867949, 0.00046530177, -0.0005006701, -0.00017867949, 9.741217, 0.08965671, -0.020142099, 0.07259121, -0.021430062
4.257, 0.00014331115, 0.00014331115, 0.00078729243, -0.0005006701, 9.741217, 0.08933473, -0.019820109, 0.071947224, -0.021430062
4.258, 0.00014331115, 0.00014331115, 0.00014331115, -0.00017867949, 9.738962, 0.08933473, -0.019498117, 0.071947224, -0.02110807
4.259, -0.0005006701, 0.00078729243, -0.0005006701, 0.00046530177, 9.740572, 0.08933473, -0.019498117, 0.072269216, -0.021430062
4.26, 0.00014331115, 0.00014331115, 0.00014331115, -0.0005006701, 9.739928, 0.08933473, -0.019498117, 0.071947224, -0.021430062
4.261, -0.0005006701, 0.00014331115, 0.00014331115, 0.00014331115, 9.741217, 0.089012735, -0.019498117, 0.07259121, -0.021752052
